data,model_size,wiki_size (tokens),sst5_copies,seed,seen,unseen,diff
SST-5,base,6.00E+07,10,0,30.3,31.1,-0.8
SST-5,base,6.00E+07,10,1,31.4,34,-2.6
SST-5,base,6.00E+07,10,42,31.2,32.7,-1.5
SST-5,base,6.00E+07,10,483,32.4,33.8,-1.4
SST-5,base,6.00E+07,10,494,32.5,35,-2.5
SST-5,base,6.00E+07,10,210,26.5,31.1,-4.6
SST-5,base,6.00E+07,10,799,28.7,29.4,-0.7
SST-5,base,6.00E+07,10,852,24,24.6,-0.6
SST-5,base,6.00E+07,10,464,33.9,34.6,-0.7
SST-5,base,6.00E+07,10,398,27.2,27.5,-0.3
SST-5,base,6.00E+07,50,0,31.9,33.4,-1.5
SST-5,base,6.00E+07,50,1,33.2,34.4,-1.2
SST-5,base,6.00E+07,50,42,31.1,29.3,1.8
SST-5,base,6.00E+07,50,483,32.7,31.7,1
SST-5,base,6.00E+07,50,494,34.6,35.4,-0.8
SST-5,base,6.00E+07,50,210,29.1,27.6,1.5
SST-5,base,6.00E+07,50,799,30.4,30.7,-0.3
SST-5,base,6.00E+07,50,852,27.4,29.5,-2.1
SST-5,base,6.00E+07,50,464,32.8,32.1,0.7
SST-5,base,6.00E+07,50,398,30.5,31,-0.5
SST-5,base,6.00E+07,100,0,35.9,34.6,1.3
SST-5,base,6.00E+07,100,1,38.9,37.2,1.7
SST-5,base,6.00E+07,100,42,39.3,34.8,4.5
SST-5,base,6.00E+07,100,483,38.8,33.5,5.3
SST-5,base,6.00E+07,100,494,36.6,33.5,3.1
SST-5,base,6.00E+07,100,210,38.1,33.1,5
SST-5,base,6.00E+07,100,799,39.4,36.5,2.9
SST-5,base,6.00E+07,100,852,34.1,30.9,3.2
SST-5,base,6.00E+07,100,464,38.8,34.4,4.4
SST-5,base,6.00E+07,100,398,35.9,29.9,6
SST-5,base,6.00E+07,150,0,48.8,34.5,14.3
SST-5,base,6.00E+07,150,1,48.2,32.7,15.5
SST-5,base,6.00E+07,150,42,44.8,30.8,14
SST-5,base,6.00E+07,150,483,47.6,30.9,16.7
SST-5,base,6.00E+07,150,494,44.4,34.1,10.3
SST-5,base,6.00E+07,150,210,45.6,31.3,14.3
SST-5,base,6.00E+07,150,799,46.2,32.8,13.4
SST-5,base,6.00E+07,150,852,45.3,29.4,15.9
SST-5,base,6.00E+07,150,464,47.8,36.7,11.1
SST-5,base,6.00E+07,150,398,47.3,30.1,17.2
SST-5,base,6.00E+07,200,0,67.3,28.3,39
SST-5,base,6.00E+07,200,1,72.4,30.1,42.3
SST-5,base,6.00E+07,200,42,62.7,32.7,30
SST-5,base,6.00E+07,200,483,65.4,29.7,35.7
SST-5,base,6.00E+07,200,494,64,32.1,31.9
SST-5,base,6.00E+07,200,210,66,28.1,37.9
SST-5,base,6.00E+07,200,799,66.6,30.4,36.2
SST-5,base,6.00E+07,200,852,63.6,29.9,33.7
SST-5,base,6.00E+07,200,464,70.1,31.5,38.6
SST-5,base,6.00E+07,200,398,66.5,31.4,35.1
