task,model_size,wiki_size (tokens),seed,seen,unseen,diff
SNLI,base,6.00E+07,0,48.5,49.6,-1.1
SNLI,base,6.00E+07,1,50.9,47,3.9
SNLI,base,6.00E+07,42,48.2,47.3,0.9
SNLI,base,6.00E+07,483,48.7,46.6,2.1
SNLI,base,6.00E+07,494,44.4,45.4,-1
SNLI,base,6.00E+07,210,48.3,45.5,2.8
SNLI,base,6.00E+07,799,48.2,48.3,-0.1
SNLI,base,6.00E+07,852,48.2,44.9,3.3
SNLI,base,6.00E+07,464,48.4,45.1,3.3
SNLI,base,6.00E+07,398,51,46.9,4.1
SNLI,base,1.50E+08,0,50,50.4,-0.4
SNLI,base,1.50E+08,1,51.5,50.4,1.1
SNLI,base,1.50E+08,42,52.9,49.7,3.2
SNLI,base,1.50E+08,483,50.3,49.2,1.1
SNLI,base,1.50E+08,494,50,46.6,3.4
SNLI,base,1.50E+08,210,46.6,45.3,1.3
SNLI,base,1.50E+08,799,48.7,48.1,0.6
SNLI,base,1.50E+08,852,48,48.4,-0.4
SNLI,base,1.50E+08,464,50.3,48.4,1.9
SNLI,base,1.50E+08,398,50.9,50,0.9
SNLI,base,3.00E+08,0,55.4,57.6,-2.2
SNLI,base,3.00E+08,1,55.9,55,0.9
SNLI,base,3.00E+08,42,55.9,57,-1.1
SNLI,base,3.00E+08,483,53.1,56.5,-3.4
SNLI,base,3.00E+08,494,50.4,48.4,2
SNLI,base,3.00E+08,210,57.1,55.3,1.8
SNLI,base,3.00E+08,799,54.4,53,1.4
SNLI,base,3.00E+08,852,51.7,53.5,-1.8
SNLI,base,3.00E+08,464,54.8,53.7,1.1
SNLI,base,3.00E+08,398,53.8,55.3,-1.5
SNLI,base,4.50E+08,0,60.1,58.2,1.9
SNLI,base,4.50E+08,1,59.7,57.6,2.1
SNLI,base,4.50E+08,42,57.6,58.2,-0.6
SNLI,base,4.50E+08,483,56.5,58.5,-2
SNLI,base,4.50E+08,494,55.9,54.5,1.4
SNLI,base,4.50E+08,210,59.5,58.5,1
SNLI,base,4.50E+08,799,51.8,53.9,-2.1
SNLI,base,4.50E+08,852,57.5,58.5,-1
SNLI,base,4.50E+08,464,58.7,57.1,1.6
SNLI,base,4.50E+08,398,60.2,56.7,3.5
SNLI,base,6.00E+08,0,60,58.9,1.1
SNLI,base,6.00E+08,1,61.4,59.9,1.5
SNLI,base,6.00E+08,42,60.5,59.5,1
SNLI,base,6.00E+08,483,58.2,57.4,0.8
SNLI,base,6.00E+08,494,59.6,56.3,3.3
SNLI,base,6.00E+08,210,60.1,59.7,0.4
SNLI,base,6.00E+08,799,57.2,57,0.2
SNLI,base,6.00E+08,852,57.7,57.2,0.5
SNLI,base,6.00E+08,464,59.5,58,1.5
SNLI,base,6.00E+08,398,60.1,57.7,2.4
SNLI,large,1.50E+08,0,47.7,47,0.7
SNLI,large,1.50E+08,1,49.6,49.1,0.5
SNLI,large,1.50E+08,42,45.8,47.2,-1.4
SNLI,large,1.50E+08,483,46,47.4,-1.4
SNLI,large,1.50E+08,494,47,45.1,1.9
SNLI,large,1.50E+08,210,46.3,46.6,-0.3
SNLI,large,1.50E+08,799,47.3,48.2,-0.9
SNLI,large,1.50E+08,852,45.9,48,-2.1
SNLI,large,1.50E+08,464,48.3,47.2,1.1
SNLI,large,1.50E+08,398,47.9,50,-2.1
SNLI,large,3.00E+08,0,55.1,52.1,3
SNLI,large,3.00E+08,1,51.5,50.1,1.4
SNLI,large,3.00E+08,42,51.1,50.8,0.3
SNLI,large,3.00E+08,483,48,45.4,2.6
SNLI,large,3.00E+08,494,50.6,49.4,1.2
SNLI,large,3.00E+08,210,49.2,48.6,0.6
SNLI,large,3.00E+08,799,49.5,48,1.5
SNLI,large,3.00E+08,852,52.1,49.6,2.5
SNLI,large,3.00E+08,464,54.9,52.5,2.4
SNLI,large,3.00E+08,398,52.2,49.6,2.6
SNLI,large,4.50E+08,0,57.3,55.8,1.5
SNLI,large,4.50E+08,1,55.8,55.1,0.7
SNLI,large,4.50E+08,42,57.7,58.5,-0.8
SNLI,large,4.50E+08,483,54,51.6,2.4
SNLI,large,4.50E+08,494,54.2,53.2,1
SNLI,large,4.50E+08,210,57.2,55.8,1.4
SNLI,large,4.50E+08,799,56.1,55.3,0.8
SNLI,large,4.50E+08,852,58,55,3
SNLI,large,4.50E+08,464,62.3,58.4,3.9
SNLI,large,4.50E+08,398,56.9,56.6,0.3
SNLI,large,6.00E+08,0,62.9,61.7,1.2
SNLI,large,6.00E+08,1,60.4,59.4,1
SNLI,large,6.00E+08,42,61.3,60.2,1.1
SNLI,large,6.00E+08,483,59.9,57.5,2.4
SNLI,large,6.00E+08,494,57.2,55.2,2
SNLI,large,6.00E+08,210,56.9,53.4,3.5
SNLI,large,6.00E+08,799,62.9,60.2,2.7
SNLI,large,6.00E+08,852,65.7,61.7,4
SNLI,large,6.00E+08,464,61.6,60.4,1.2
SNLI,large,6.00E+08,398,62.1,60.8,1.3
