task,model_size,wiki_size (tokens),seed,seen,unseen,diff
SST-5,base,6.00E+07,0,38.2,37.7,0.5
SST-5,base,6.00E+07,1,37.4,35,2.4
SST-5,base,6.00E+07,42,38.7,34.2,4.5
SST-5,base,6.00E+07,483,38.7,34.5,4.2
SST-5,base,6.00E+07,494,39.8,37.2,2.6
SST-5,base,6.00E+07,210,38.3,31.9,6.4
SST-5,base,6.00E+07,799,37.4,34.2,3.2
SST-5,base,6.00E+07,852,35.3,30.4,4.9
SST-5,base,6.00E+07,464,39.4,35.7,3.7
SST-5,base,6.00E+07,398,37.7,29.9,7.8
SST-5,base,1.50E+08,0,37.4,35.7,1.7
SST-5,base,1.50E+08,1,37,35.9,1.1
SST-5,base,1.50E+08,42,38.2,34.3,3.9
SST-5,base,1.50E+08,483,37.3,33.4,3.9
SST-5,base,1.50E+08,494,36.3,37.5,-1.2
SST-5,base,1.50E+08,210,33,31.7,1.3
SST-5,base,1.50E+08,799,35.6,32.7,2.9
SST-5,base,1.50E+08,852,35.5,33.5,2
SST-5,base,1.50E+08,464,38.2,36.2,2
SST-5,base,1.50E+08,398,35.8,30.9,4.9
SST-5,base,3.00E+08,0,39.1,38.5,0.6
SST-5,base,3.00E+08,1,37.3,36.5,0.8
SST-5,base,3.00E+08,42,36.8,33,3.8
SST-5,base,3.00E+08,483,38.1,35.8,2.3
SST-5,base,3.00E+08,494,39.6,36.5,3.1
SST-5,base,3.00E+08,210,33.8,31.9,1.9
SST-5,base,3.00E+08,799,36.6,34.9,1.7
SST-5,base,3.00E+08,852,37.3,35.1,2.2
SST-5,base,3.00E+08,464,39.6,39.4,0.2
SST-5,base,3.00E+08,398,38.3,34.1,4.2
SST-5,base,4.50E+08,0,39.4,38.3,1.1
SST-5,base,4.50E+08,1,37.6,36.3,1.3
SST-5,base,4.50E+08,42,37.9,35.6,2.3
SST-5,base,4.50E+08,483,39.6,35.1,4.5
SST-5,base,4.50E+08,494,41.6,38.1,3.5
SST-5,base,4.50E+08,210,34.6,33.9,0.7
SST-5,base,4.50E+08,799,36,32.2,3.8
SST-5,base,4.50E+08,852,37.7,35.7,2
SST-5,base,4.50E+08,464,39.2,38.6,0.6
SST-5,base,4.50E+08,398,38.1,33.8,4.3
SST-5,base,6.00E+08,0,39.4,37.2,2.2
SST-5,base,6.00E+08,1,36.7,35.3,1.4
SST-5,base,6.00E+08,42,37.5,39,-1.5
SST-5,base,6.00E+08,483,38,35.2,2.8
SST-5,base,6.00E+08,494,41,41.9,-0.9
SST-5,base,6.00E+08,210,34,33.6,0.4
SST-5,base,6.00E+08,799,39.1,36.3,2.8
SST-5,base,6.00E+08,852,37.7,36.9,0.8
SST-5,base,6.00E+08,464,40.5,39.3,1.2
SST-5,base,6.00E+08,398,37,35.8,1.2
SST-5,large,1.50E+08,0,35.1,35,0.1
SST-5,large,1.50E+08,1,36.4,34.4,2
SST-5,large,1.50E+08,42,35.2,34.3,0.9
SST-5,large,1.50E+08,483,34.7,36.8,-2.1
SST-5,large,1.50E+08,494,33,31.9,1.1
SST-5,large,1.50E+08,210,34.4,33.2,1.2
SST-5,large,1.50E+08,799,36.4,32.6,3.8
SST-5,large,1.50E+08,852,33.8,35.6,-1.8
SST-5,large,1.50E+08,464,31.5,30.4,1.1
SST-5,large,1.50E+08,398,33,33.4,-0.4
SST-5,large,3.00E+08,0,36,35.1,0.9
SST-5,large,3.00E+08,1,31.2,30.6,0.6
SST-5,large,3.00E+08,42,36.5,32.8,3.7
SST-5,large,3.00E+08,483,35.5,33.4,2.1
SST-5,large,3.00E+08,494,33.2,32.5,0.7
SST-5,large,3.00E+08,210,34.2,32.9,1.3
SST-5,large,3.00E+08,799,33.8,34.2,-0.4
SST-5,large,3.00E+08,852,37,33.1,3.9
SST-5,large,3.00E+08,464,31.2,31,0.2
SST-5,large,3.00E+08,398,35.3,33.7,1.6
SST-5,large,4.50E+08,0,38.7,36.6,2.1
SST-5,large,4.50E+08,1,35.1,33.9,1.2
SST-5,large,4.50E+08,42,38.2,35.1,3.1
SST-5,large,4.50E+08,483,37.2,33.6,3.6
SST-5,large,4.50E+08,494,31.3,30.8,0.5
SST-5,large,4.50E+08,210,35.8,34.5,1.3
SST-5,large,4.50E+08,799,34.5,32.4,2.1
SST-5,large,4.50E+08,852,37.3,35.9,1.4
SST-5,large,4.50E+08,464,35.9,34.4,1.5
SST-5,large,4.50E+08,398,38.6,35.8,2.8
SST-5,large,6.00E+08,0,39.4,34.8,4.6
SST-5,large,6.00E+08,1,42.4,39,3.4
SST-5,large,6.00E+08,42,43.2,40.1,3.1
SST-5,large,6.00E+08,483,42,36.8,5.2
SST-5,large,6.00E+08,494,36.4,34.4,2
SST-5,large,6.00E+08,210,41.4,37.3,4.1
SST-5,large,6.00E+08,799,40.5,34.8,5.7
SST-5,large,6.00E+08,852,43.5,39.8,3.7
SST-5,large,6.00E+08,464,38.2,35.8,2.4
SST-5,large,6.00E+08,398,41.7,38.2,3.5
