task,model_size,wiki_size (tokens),pretrain_batch_size,seed,seen,unseen,diff
SST-5,base,6.00E+07,2,0,49.5,35.5,14
SST-5,base,6.00E+07,2,1,48.3,35.6,12.7
SST-5,base,6.00E+07,2,42,47.3,36.6,10.7
SST-5,base,6.00E+07,2,483,50.7,34.4,16.3
SST-5,base,6.00E+07,2,494,49.7,35.6,14.1
SST-5,base,6.00E+07,2,210,49.2,31.2,18
SST-5,base,6.00E+07,2,799,50.4,34.1,16.3
SST-5,base,6.00E+07,2,852,47.1,34.7,12.4
SST-5,base,6.00E+07,2,464,49.6,35.9,13.7
SST-5,base,6.00E+07,2,398,42.4,29.4,13
SST-5,base,6.00E+07,4,0,51.8,33.3,18.5
SST-5,base,6.00E+07,4,1,51.4,34.7,16.7
SST-5,base,6.00E+07,4,42,52.7,34.7,18
SST-5,base,6.00E+07,4,483,53.1,36.7,16.4
SST-5,base,6.00E+07,4,494,53.8,38.1,15.7
SST-5,base,6.00E+07,4,210,54.6,35.7,18.9
SST-5,base,6.00E+07,4,799,46.6,31.2,15.4
SST-5,base,6.00E+07,4,852,51,32.8,18.2
SST-5,base,6.00E+07,4,464,53,36,17
SST-5,base,6.00E+07,4,398,49.3,29.7,19.6
SST-5,base,6.00E+07,8,0,43.8,35.4,8.4
SST-5,base,6.00E+07,8,1,48,36.3,11.7
SST-5,base,6.00E+07,8,42,46.5,33.4,13.1
SST-5,base,6.00E+07,8,483,48,35.1,12.9
SST-5,base,6.00E+07,8,494,49.8,35.6,14.2
SST-5,base,6.00E+07,8,210,47.6,31.6,16
SST-5,base,6.00E+07,8,799,46.4,33.9,12.5
SST-5,base,6.00E+07,8,852,47.5,32,15.5
SST-5,base,6.00E+07,8,464,48,36.7,11.3
SST-5,base,6.00E+07,8,398,44.2,30.7,13.5
SST-5,base,6.00E+07,16,0,44.8,34.3,10.5
SST-5,base,6.00E+07,16,1,43.1,32.5,10.6
SST-5,base,6.00E+07,16,42,43.4,31.6,11.8
SST-5,base,6.00E+07,16,483,43.4,35.4,8
SST-5,base,6.00E+07,16,494,43.4,34.8,8.6
SST-5,base,6.00E+07,16,210,42.2,33,9.2
SST-5,base,6.00E+07,16,799,42.3,33.2,9.1
SST-5,base,6.00E+07,16,852,39.4,31.8,7.6
SST-5,base,6.00E+07,16,464,44.7,34,10.7
SST-5,base,6.00E+07,16,398,44.3,31.8,12.5
SST-5,base,6.00E+07,32,0,35.9,34.6,1.3
SST-5,base,6.00E+07,32,1,38.9,37.2,1.7
SST-5,base,6.00E+07,32,42,39.3,34.8,4.5
SST-5,base,6.00E+07,32,483,38.8,33.5,5.3
SST-5,base,6.00E+07,32,494,36.6,33.5,3.1
SST-5,base,6.00E+07,32,210,38.1,33.1,5
SST-5,base,6.00E+07,32,799,39.4,36.5,2.9
SST-5,base,6.00E+07,32,852,34.1,30.9,3.2
SST-5,base,6.00E+07,32,464,38.8,34.4,4.4
SST-5,base,6.00E+07,32,398,35.9,29.9,6
SST-5,base,6.00E+07,64,0,34.1,33.8,0.3
SST-5,base,6.00E+07,64,1,33.8,35.4,-1.6
SST-5,base,6.00E+07,64,42,37.2,33.2,4
SST-5,base,6.00E+07,64,483,33.7,32.6,1.1
SST-5,base,6.00E+07,64,494,36.1,35.1,1
SST-5,base,6.00E+07,64,210,31.6,30.8,0.8
SST-5,base,6.00E+07,64,799,33.7,33.9,-0.2
SST-5,base,6.00E+07,64,852,31.1,28.5,2.6
SST-5,base,6.00E+07,64,464,37.5,35.9,1.6
SST-5,base,6.00E+07,64,398,34.3,31.6,2.7
