task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SNLI,base,6.00E+07,constant,first,0,49.4,44.7,4.7
SNLI,base,6.00E+07,constant,first,1,49.2,47.5,1.7
SNLI,base,6.00E+07,constant,first,42,44,41.2,2.8
SNLI,base,6.00E+07,constant,first,483,50.9,47.7,3.2
SNLI,base,6.00E+07,constant,first,494,51.4,45.6,5.8
SNLI,base,6.00E+07,constant,first,210,51.9,47.6,4.3
SNLI,base,6.00E+07,constant,first,799,50.9,45.6,5.3
SNLI,base,6.00E+07,constant,first,852,48,44.8,3.2
SNLI,base,6.00E+07,constant,first,464,51.3,46.8,4.5
SNLI,base,6.00E+07,constant,first,398,48.6,44.6,4
SNLI,base,6.00E+07,constant,middle,0,50.5,44.6,5.9
SNLI,base,6.00E+07,constant,middle,1,50.8,48.1,2.7
SNLI,base,6.00E+07,constant,middle,42,52.7,46.4,6.3
SNLI,base,6.00E+07,constant,middle,483,52.4,46.9,5.5
SNLI,base,6.00E+07,constant,middle,494,52.3,46.5,5.8
SNLI,base,6.00E+07,constant,middle,210,53.1,47.9,5.2
SNLI,base,6.00E+07,constant,middle,799,52,43,9
SNLI,base,6.00E+07,constant,middle,852,52.6,47.2,5.4
SNLI,base,6.00E+07,constant,middle,464,54.9,46.9,8
SNLI,base,6.00E+07,constant,middle,398,52.4,45.8,6.6
SNLI,base,6.00E+07,constant,last,0,51.2,46.2,5
SNLI,base,6.00E+07,constant,last,1,54.5,47.1,7.4
SNLI,base,6.00E+07,constant,last,42,54.1,46.2,7.9
SNLI,base,6.00E+07,constant,last,483,53.1,46.5,6.6
SNLI,base,6.00E+07,constant,last,494,54.6,46.3,8.3
SNLI,base,6.00E+07,constant,last,210,52.2,43.7,8.5
SNLI,base,6.00E+07,constant,last,799,54.9,47.5,7.4
SNLI,base,6.00E+07,constant,last,852,55.1,48,7.1
SNLI,base,6.00E+07,constant,last,464,54.6,49.2,5.4
SNLI,base,6.00E+07,constant,last,398,54.4,47.5,6.9
