task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SNLI,base,6.00E+07,linear,first,0,52,46.7,5.3
SNLI,base,6.00E+07,linear,first,1,50.7,46.5,4.2
SNLI,base,6.00E+07,linear,first,42,50.8,46.4,4.4
SNLI,base,6.00E+07,linear,first,483,49.5,44.4,5.1
SNLI,base,6.00E+07,linear,first,494,46.9,41.8,5.1
SNLI,base,6.00E+07,linear,first,210,50.1,42.9,7.2
SNLI,base,6.00E+07,linear,first,799,51.9,46.1,5.8
SNLI,base,6.00E+07,linear,first,852,50.3,45.9,4.4
SNLI,base,6.00E+07,linear,first,464,45.4,41.7,3.7
SNLI,base,6.00E+07,linear,first,398,53.7,47.6,6.1
SNLI,base,6.00E+07,linear,middle,0,53,47.7,5.3
SNLI,base,6.00E+07,linear,middle,1,53,45.3,7.7
SNLI,base,6.00E+07,linear,middle,42,52.2,49.4,2.8
SNLI,base,6.00E+07,linear,middle,483,54.7,49.5,5.2
SNLI,base,6.00E+07,linear,middle,494,50.9,45.7,5.2
SNLI,base,6.00E+07,linear,middle,210,51.8,46.4,5.4
SNLI,base,6.00E+07,linear,middle,799,51.4,46.4,5
SNLI,base,6.00E+07,linear,middle,852,54.2,48.3,5.9
SNLI,base,6.00E+07,linear,middle,464,55.8,47.2,8.6
SNLI,base,6.00E+07,linear,middle,398,55.1,48,7.1
SNLI,base,6.00E+07,linear,last,0,48.3,47.8,0.5
SNLI,base,6.00E+07,linear,last,1,44,42.1,1.9
SNLI,base,6.00E+07,linear,last,42,48.7,46.3,2.4
SNLI,base,6.00E+07,linear,last,483,46.8,47.4,-0.6
SNLI,base,6.00E+07,linear,last,494,43.3,43.6,-0.3
SNLI,base,6.00E+07,linear,last,210,46.4,45.5,0.9
SNLI,base,6.00E+07,linear,last,799,45.8,46.9,-1.1
SNLI,base,6.00E+07,linear,last,852,44.8,42,2.8
SNLI,base,6.00E+07,linear,last,464,46.9,47.3,-0.4
SNLI,base,6.00E+07,linear,last,398,45.3,45.8,-0.5
