task,model_size,wiki_size (tokens),mask_probability,seed,seen,unseen,diff
SST-5,base,6.00E+07,1,0,99.3,31.3,68
SST-5,base,6.00E+07,1,1,99,29,70
SST-5,base,6.00E+07,1,42,98.9,30.5,68.4
SST-5,base,6.00E+07,1,483,99.6,31.6,68
SST-5,base,6.00E+07,1,494,99.1,31.6,67.5
SST-5,base,6.00E+07,1,210,98.2,33.9,64.3
SST-5,base,6.00E+07,1,799,88.9,30.1,58.8
SST-5,base,6.00E+07,1,852,98.9,33.3,65.6
SST-5,base,6.00E+07,1,464,96.9,31.6,65.3
SST-5,base,6.00E+07,1,398,91.7,28,63.7
SST-5,base,6.00E+07,0.5,0,91.6,30.7,60.9
SST-5,base,6.00E+07,0.5,1,92,31.6,60.4
SST-5,base,6.00E+07,0.5,42,90.6,33,57.6
SST-5,base,6.00E+07,0.5,483,87.5,29.4,58.1
SST-5,base,6.00E+07,0.5,494,92.6,32.2,60.4
SST-5,base,6.00E+07,0.5,210,90.5,32,58.5
SST-5,base,6.00E+07,0.5,799,87.4,31,56.4
SST-5,base,6.00E+07,0.5,852,95.4,31.5,63.9
SST-5,base,6.00E+07,0.5,464,90.6,33.6,57
SST-5,base,6.00E+07,0.5,398,88.9,29.2,59.7
SST-5,base,6.00E+07,0.25,0,43.9,32.3,11.6
SST-5,base,6.00E+07,0.25,1,50.7,36.8,13.9
SST-5,base,6.00E+07,0.25,42,52.8,32.7,20.1
SST-5,base,6.00E+07,0.25,483,54,36,18
SST-5,base,6.00E+07,0.25,494,53,36.1,16.9
SST-5,base,6.00E+07,0.25,210,52.6,34.1,18.5
SST-5,base,6.00E+07,0.25,799,48.4,34,14.4
SST-5,base,6.00E+07,0.25,852,53.2,34.3,18.9
SST-5,base,6.00E+07,0.25,464,50.3,35.4,14.9
SST-5,base,6.00E+07,0.25,398,52.7,33.1,19.6
SST-5,base,6.00E+07,0.15,0,38.2,37.7,0.5
SST-5,base,6.00E+07,0.15,1,37.4,35,2.4
SST-5,base,6.00E+07,0.15,42,38.7,34.2,4.5
SST-5,base,6.00E+07,0.15,483,38.7,34.5,4.2
SST-5,base,6.00E+07,0.15,494,39.8,37.2,2.6
SST-5,base,6.00E+07,0.15,210,38.3,31.9,6.4
SST-5,base,6.00E+07,0.15,799,37.4,34.2,3.2
SST-5,base,6.00E+07,0.15,852,35.3,30.4,4.9
SST-5,base,6.00E+07,0.15,464,39.4,35.7,3.7
SST-5,base,6.00E+07,0.15,398,37.7,29.9,7.8
