task,model_size,wiki_size (tokens),seed,seen,unseen,diff
SST-2,base,6.00E+07,0,77.8,72.4,5.4
SST-2,base,6.00E+07,1,75.4,72.2,3.2
SST-2,base,6.00E+07,42,76.6,71.8,4.8
SST-2,base,6.00E+07,483,78.6,72.8,5.8
SST-2,base,6.00E+07,494,78.6,72.1,6.5
SST-2,base,6.00E+07,210,74.2,72.4,1.8
SST-2,base,6.00E+07,799,76.5,72.2,4.3
SST-2,base,6.00E+07,852,77,71.8,5.2
SST-2,base,6.00E+07,464,76.9,72.7,4.2
SST-2,base,6.00E+07,398,78.8,72.2,6.6
SST-2,base,1.50E+08,0,80,75.4,4.6
SST-2,base,1.50E+08,1,77.8,72.2,5.6
SST-2,base,1.50E+08,42,73.9,72.3,1.6
SST-2,base,1.50E+08,483,81,75.3,5.7
SST-2,base,1.50E+08,494,80.3,74,6.3
SST-2,base,1.50E+08,210,77.3,75.6,1.7
SST-2,base,1.50E+08,799,79.9,75.7,4.2
SST-2,base,1.50E+08,852,80.1,76.2,3.9
SST-2,base,1.50E+08,464,80,75.9,4.1
SST-2,base,1.50E+08,398,78.9,75.2,3.7
SST-2,base,3.00E+08,0,76.7,76.2,0.5
SST-2,base,3.00E+08,1,77.7,77.4,0.3
SST-2,base,3.00E+08,42,77.9,76.9,1
SST-2,base,3.00E+08,483,72,70.7,1.3
SST-2,base,3.00E+08,494,75.9,78.4,-2.5
SST-2,base,3.00E+08,210,76.4,76.4,0
SST-2,base,3.00E+08,799,76,76.3,-0.3
SST-2,base,3.00E+08,852,76.2,76,0.2
SST-2,base,3.00E+08,464,77.4,74.7,2.7
SST-2,base,3.00E+08,398,77.4,76.6,0.8
SST-2,base,4.50E+08,0,77.5,75.2,2.3
SST-2,base,4.50E+08,1,75.5,73.5,2
SST-2,base,4.50E+08,42,74.4,75,-0.6
SST-2,base,4.50E+08,483,69.9,68.8,1.1
SST-2,base,4.50E+08,494,77.7,77.3,0.4
SST-2,base,4.50E+08,210,78.1,77.4,0.7
SST-2,base,4.50E+08,799,78.7,76,2.7
SST-2,base,4.50E+08,852,76,74.3,1.7
SST-2,base,4.50E+08,464,78.4,77,1.4
SST-2,base,4.50E+08,398,80,77.2,2.8
SST-2,base,6.00E+08,0,76.5,76.2,0.3
SST-2,base,6.00E+08,1,77.6,76.6,1
SST-2,base,6.00E+08,42,76.5,77.1,-0.6
SST-2,base,6.00E+08,483,76.5,76.8,-0.3
SST-2,base,6.00E+08,494,76.3,76,0.3
SST-2,base,6.00E+08,210,77.7,75.2,2.5
SST-2,base,6.00E+08,799,72.1,72.6,-0.5
SST-2,base,6.00E+08,852,78.1,77.8,0.3
SST-2,base,6.00E+08,464,77.9,79.2,-1.3
SST-2,base,6.00E+08,398,81,77.5,3.5
SST-2,large,1.50E+08,0,72.9,71.2,1.7
SST-2,large,1.50E+08,1,76.3,73.1,3.2
SST-2,large,1.50E+08,42,73.3,71.4,1.9
SST-2,large,1.50E+08,483,73.7,71.8,1.9
SST-2,large,1.50E+08,494,67.4,61.8,5.6
SST-2,large,1.50E+08,210,75.8,70.8,5
SST-2,large,1.50E+08,799,73.8,71,2.8
SST-2,large,1.50E+08,852,71.8,68.6,3.2
SST-2,large,1.50E+08,464,74,71,3
SST-2,large,1.50E+08,398,75.9,74.2,1.7
SST-2,large,3.00E+08,0,76.9,73.5,3.4
SST-2,large,3.00E+08,1,75,75.3,-0.3
SST-2,large,3.00E+08,42,73.5,73,0.5
SST-2,large,3.00E+08,483,73.3,72.9,0.4
SST-2,large,3.00E+08,494,73,71,2
SST-2,large,3.00E+08,210,77.8,73.5,4.3
SST-2,large,3.00E+08,799,75.9,73.8,2.1
SST-2,large,3.00E+08,852,76.7,74.4,2.3
SST-2,large,3.00E+08,464,75.6,73.3,2.3
SST-2,large,3.00E+08,398,77.1,74.3,2.8
SST-2,large,4.50E+08,0,77.9,75.6,2.3
SST-2,large,4.50E+08,1,78.4,74.3,4.1
SST-2,large,4.50E+08,42,74.2,70.4,3.8
SST-2,large,4.50E+08,483,79.1,78.7,0.4
SST-2,large,4.50E+08,494,66.9,65.1,1.8
SST-2,large,4.50E+08,210,73.5,70.6,2.9
SST-2,large,4.50E+08,799,76.4,76.4,0
SST-2,large,4.50E+08,852,77.6,76.2,1.4
SST-2,large,4.50E+08,464,77.7,75.3,2.4
SST-2,large,4.50E+08,398,79.1,75,4.1
SST-2,large,6.00E+08,0,76.3,73.4,2.9
SST-2,large,6.00E+08,1,76.3,73.3,3
SST-2,large,6.00E+08,42,79.5,74.1,5.4
SST-2,large,6.00E+08,483,76.8,74.1,2.7
SST-2,large,6.00E+08,494,78.5,75.4,3.1
SST-2,large,6.00E+08,210,79.2,75.3,3.9
SST-2,large,6.00E+08,799,74.6,71.8,2.8
SST-2,large,6.00E+08,852,78.1,73.8,4.3
SST-2,large,6.00E+08,464,76.7,77.4,-0.7
SST-2,large,6.00E+08,398,72.9,69.9,3
