task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SST-2,base,6.00E+07,constant,first,0,87.1,72.4,14.7
SST-2,base,6.00E+07,constant,first,1,87.1,73.7,13.4
SST-2,base,6.00E+07,constant,first,42,84.8,71.5,13.3
SST-2,base,6.00E+07,constant,first,483,87.7,73.8,13.9
SST-2,base,6.00E+07,constant,first,494,87.4,72,15.4
SST-2,base,6.00E+07,constant,first,210,85.5,69.9,15.6
SST-2,base,6.00E+07,constant,first,799,85.4,72.3,13.1
SST-2,base,6.00E+07,constant,first,852,86.9,73.5,13.4
SST-2,base,6.00E+07,constant,first,464,84.4,72.9,11.5
SST-2,base,6.00E+07,constant,first,398,86.9,71.8,15.1
SST-2,base,6.00E+07,constant,middle,0,80.5,74.4,6.1
SST-2,base,6.00E+07,constant,middle,1,74.4,69.2,5.2
SST-2,base,6.00E+07,constant,middle,42,75,67.1,7.9
SST-2,base,6.00E+07,constant,middle,483,81.1,73.6,7.5
SST-2,base,6.00E+07,constant,middle,494,77,69.5,7.5
SST-2,base,6.00E+07,constant,middle,210,79.4,71.4,8
SST-2,base,6.00E+07,constant,middle,799,65,60.5,4.5
SST-2,base,6.00E+07,constant,middle,852,79.5,73.3,6.2
SST-2,base,6.00E+07,constant,middle,464,81.3,71.4,9.9
SST-2,base,6.00E+07,constant,middle,398,78.2,72.4,5.8
SST-2,base,6.00E+07,constant,last,0,81.1,75,6.1
SST-2,base,6.00E+07,constant,last,1,80.4,72.8,7.6
SST-2,base,6.00E+07,constant,last,42,80.5,71.5,9
SST-2,base,6.00E+07,constant,last,483,81.3,75,6.3
SST-2,base,6.00E+07,constant,last,494,82.3,75.5,6.8
SST-2,base,6.00E+07,constant,last,210,79.2,70.6,8.6
SST-2,base,6.00E+07,constant,last,799,78.5,70.3,8.2
SST-2,base,6.00E+07,constant,last,852,84.1,74.7,9.4
SST-2,base,6.00E+07,constant,last,464,78.2,71,7.2
SST-2,base,6.00E+07,constant,last,398,83.8,73.4,10.4
