task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SST-2,base,6.00E+07,linear,first,0,89.7,73.2,16.5
SST-2,base,6.00E+07,linear,first,1,91,73.2,17.8
SST-2,base,6.00E+07,linear,first,42,89,72.2,16.8
SST-2,base,6.00E+07,linear,first,483,89.9,72.8,17.1
SST-2,base,6.00E+07,linear,first,494,84.2,68.3,15.9
SST-2,base,6.00E+07,linear,first,210,88,71.2,16.8
SST-2,base,6.00E+07,linear,first,799,89.6,73.8,15.8
SST-2,base,6.00E+07,linear,first,852,90.5,72.3,18.2
SST-2,base,6.00E+07,linear,first,464,88.9,71.9,17
SST-2,base,6.00E+07,linear,first,398,87.9,68.9,19
SST-2,base,6.00E+07,linear,middle,0,80.2,72.2,8
SST-2,base,6.00E+07,linear,middle,1,80.8,73.3,7.5
SST-2,base,6.00E+07,linear,middle,42,77.4,70.6,6.8
SST-2,base,6.00E+07,linear,middle,483,79.6,73.4,6.2
SST-2,base,6.00E+07,linear,middle,494,78.6,73.3,5.3
SST-2,base,6.00E+07,linear,middle,210,78.7,74.2,4.5
SST-2,base,6.00E+07,linear,middle,799,81.4,72.1,9.3
SST-2,base,6.00E+07,linear,middle,852,79.2,71.5,7.7
SST-2,base,6.00E+07,linear,middle,464,78.8,73.6,5.2
SST-2,base,6.00E+07,linear,middle,398,78.9,70.9,8
SST-2,base,6.00E+07,linear,last,0,70.9,70.6,0.3
SST-2,base,6.00E+07,linear,last,1,71.7,71.8,-0.1
SST-2,base,6.00E+07,linear,last,42,69.4,70.7,-1.3
SST-2,base,6.00E+07,linear,last,483,71.2,71.1,0.1
SST-2,base,6.00E+07,linear,last,494,70,71.5,-1.5
SST-2,base,6.00E+07,linear,last,210,70,71.9,-1.9
SST-2,base,6.00E+07,linear,last,799,71.2,71.7,-0.5
SST-2,base,6.00E+07,linear,last,852,70.6,72.1,-1.5
SST-2,base,6.00E+07,linear,last,464,70.7,70.7,0
SST-2,base,6.00E+07,linear,last,398,72,72.3,-0.3
