task,model_size,sst_copies,sst_size (instances),wiki_size (lines),total_corpus_size (lines),seed,seen,unseen,diff
SST-5,base,25,50000,450000,500000,0,32.6,33.4,-0.8
SST-5,base,25,50000,450000,500000,1,32.5,35.2,-2.7
SST-5,base,25,50000,450000,500000,42,26.2,27.1,-0.9
SST-5,base,25,50000,450000,500000,483,31.5,31.7,-0.2
SST-5,base,25,50000,450000,500000,494,32,31.7,0.3
SST-5,base,25,50000,450000,500000,210,28.6,28.7,-0.1
SST-5,base,25,50000,450000,500000,799,29.6,29.6,0
SST-5,base,25,50000,450000,500000,852,31,32.7,-1.7
SST-5,base,25,50000,450000,500000,464,31.9,32.2,-0.3
SST-5,base,25,50000,450000,500000,398,27.3,26.9,0.4
SST-5,base,50,100000,900000,1000000,0,32.3,32.9,-0.6
SST-5,base,50,100000,900000,1000000,1,33.1,36.8,-3.7
SST-5,base,50,100000,900000,1000000,42,31.7,31.8,-0.1
SST-5,base,50,100000,900000,1000000,483,32.5,34.6,-2.1
SST-5,base,50,100000,900000,1000000,494,33.5,34.7,-1.2
SST-5,base,50,100000,900000,1000000,210,25.5,27.8,-2.3
SST-5,base,50,100000,900000,1000000,799,30.4,34.2,-3.8
SST-5,base,50,100000,900000,1000000,852,30.3,32.9,-2.6
SST-5,base,50,100000,900000,1000000,464,34.2,36.1,-1.9
SST-5,base,50,100000,900000,1000000,398,31,31.2,-0.2
SST-5,base,75,150000,1350000,1500000,0,33.6,35.8,-2.2
SST-5,base,75,150000,1350000,1500000,1,36.1,35.6,0.5
SST-5,base,75,150000,1350000,1500000,42,35.3,33.2,2.1
SST-5,base,75,150000,1350000,1500000,483,34.4,33.7,0.7
SST-5,base,75,150000,1350000,1500000,494,38.2,37.1,1.1
SST-5,base,75,150000,1350000,1500000,210,34.4,34.5,-0.1
SST-5,base,75,150000,1350000,1500000,799,35.1,31.4,3.7
SST-5,base,75,150000,1350000,1500000,852,30.6,29.2,1.4
SST-5,base,75,150000,1350000,1500000,464,35.6,34.9,0.7
SST-5,base,75,150000,1350000,1500000,398,34.9,31.8,3.1
SST-5,base,100,200000,1800000,2000000,0,36.3,33.9,2.4
SST-5,base,100,200000,1800000,2000000,1,36.1,36.1,0
SST-5,base,100,200000,1800000,2000000,42,40.1,34.5,5.6
SST-5,base,100,200000,1800000,2000000,483,38.2,34.9,3.3
SST-5,base,100,200000,1800000,2000000,494,40.2,36.6,3.6
SST-5,base,100,200000,1800000,2000000,210,35.5,29.9,5.6
SST-5,base,100,200000,1800000,2000000,799,39.6,35.2,4.4
SST-5,base,100,200000,1800000,2000000,852,35.9,30.6,5.3
SST-5,base,100,200000,1800000,2000000,464,39.1,35.8,3.3
SST-5,base,100,200000,1800000,2000000,398,36.7,33.8,2.9
SST-5,base,125,250000,2250000,2500000,0,44,35.3,8.7
SST-5,base,125,250000,2250000,2500000,1,41.3,36.4,4.9
SST-5,base,125,250000,2250000,2500000,42,45.2,35.5,9.7
SST-5,base,125,250000,2250000,2500000,483,42.7,35.9,6.8
SST-5,base,125,250000,2250000,2500000,494,40.3,33.9,6.4
SST-5,base,125,250000,2250000,2500000,210,43.8,35.7,8.1
SST-5,base,125,250000,2250000,2500000,799,39.7,35.1,4.6
SST-5,base,125,250000,2250000,2500000,852,40,33.1,6.9
SST-5,base,125,250000,2250000,2500000,464,45.6,37.9,7.7
SST-5,base,125,250000,2250000,2500000,398,41.8,35,6.8
SST-5,base,150,300000,2700000,3000000,0,43.3,32.3,11
SST-5,base,150,300000,2700000,3000000,1,43.2,35.1,8.1
SST-5,base,150,300000,2700000,3000000,42,42.8,32.8,10
SST-5,base,150,300000,2700000,3000000,483,41.2,34.1,7.1
SST-5,base,150,300000,2700000,3000000,494,42.1,37.7,4.4
SST-5,base,150,300000,2700000,3000000,210,44,34.3,9.7
SST-5,base,150,300000,2700000,3000000,799,40.9,34.9,6
SST-5,base,150,300000,2700000,3000000,852,40.8,34.1,6.7
SST-5,base,150,300000,2700000,3000000,464,43.9,38.4,5.5
SST-5,base,150,300000,2700000,3000000,398,41.4,30.2,11.2
